Source,Target,weight,book
Addam-Marbrand,Gyles-Rosby,3,3
Addam-Marbrand,Jaime-Lannister,3,3
Addam-Marbrand,Jalabhar-Xho,3,3
Addam-Marbrand,Joffrey-Baratheon,3,3
Addam-Marbrand,Kevan-Lannister,3,3
Addam-Marbrand,Oberyn-Martell,3,3
Addam-Marbrand,Tyrion-Lannister,7,3
Addam-Marbrand,Varys,4,3
Aegon-Frey-(son-of-Stevron),Catelyn-Stark,4,3
Aegon-Frey-(son-of-Stevron),Robb-Stark,5,3
Aegon-Frey-(son-of-Stevron),Stevron-Frey,3,3
Aegon-Frey-(son-of-Stevron),Walder-Frey,6,3
Aegon-I-Targaryen,Daenerys-Targaryen,4,3
Aegon-I-Targaryen,Stannis-Baratheon,4,3
Aegon-I-Targaryen,Torrhen-Stark,3,3
Aegon-Targaryen-(son-of-Rhaegar),Elia-Martell,3,3
Aemon-Targaryen-(Dragonknight),Jaime-Lannister,3,3
Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,3,3
Aemon-Targaryen-(Maester-Aemon),Clydas,16,3
Aemon-Targaryen-(Maester-Aemon),Cotter-Pyke,3,3
Aemon-Targaryen-(Maester-Aemon),Denys-Mallister,4,3
Aemon-Targaryen-(Maester-Aemon),Donal-Noye,11,3
Aemon-Targaryen-(Maester-Aemon),Eddison-Tollett,3,3
Aemon-Targaryen-(Maester-Aemon),Grenn,5,3
Aemon-Targaryen-(Maester-Aemon),Hobb,3,3
Aemon-Targaryen-(Maester-Aemon),Janos-Slynt,5,3
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,3,3
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,36,3
Aemon-Targaryen-(Maester-Aemon),Mance-Rayder,5,3
Aemon-Targaryen-(Maester-Aemon),Owen,3,3
Aemon-Targaryen-(Maester-Aemon),Pypar,5,3
Aemon-Targaryen-(Maester-Aemon),Robert-Baratheon,5,3
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,32,3
Aemon-Targaryen-(Maester-Aemon),Stannis-Baratheon,9,3
Aemon-Targaryen-(Maester-Aemon),Wynton-Stout,3,3
Aerys-II-Targaryen,Arthur-Dayne,5,3
Aerys-II-Targaryen,Brienne-of-Tarth,3,3
Aerys-II-Targaryen,Jaime-Lannister,22,3
Aerys-II-Targaryen,Joffrey-Baratheon,6,3
Aerys-II-Targaryen,Robert-Baratheon,9,3
Aerys-II-Targaryen,Rossart,4,3
Aerys-II-Targaryen,Tyrion-Lannister,6,3
Aerys-II-Targaryen,Tywin-Lannister,10,3
Aerys-II-Targaryen,Viserys-Targaryen,3,3
Aggo,Jhogo,4,3
Aggo,Rakharo,3,3
Alayaya,Bronn,3,3
Alayaya,Cersei-Lannister,3,3
Alayaya,Tyrion-Lannister,4,3
Alerie-Hightower,Mace-Tyrell,3,3
Alerie-Hightower,Margaery-Tyrell,3,3
Alester-Florent,Axell-Florent,4,3
Alester-Florent,Davos-Seaworth,11,3
Alester-Florent,Lamprey,3,3
Alester-Florent,Selyse-Florent,4,3
Alester-Florent,Stannis-Baratheon,4,3
Alla-Tyrell,Elinor-Tyrell,5,3
Alla-Tyrell,Megga-Tyrell,6,3
Alla-Tyrell,Sansa-Stark,4,3
Alliser-Thorne,Janos-Slynt,13,3
Alliser-Thorne,Jon-Snow,22,3
Alliser-Thorne,Mance-Rayder,6,3
Alliser-Thorne,Qhorin-Halfhand,4,3
Alliser-Thorne,Samwell-Tarly,4,3
Alliser-Thorne,Stannis-Baratheon,3,3
Amory-Lorch,Gregor-Clegane,3,3
Amory-Lorch,Jaime-Lannister,3,3
Amory-Lorch,Oberyn-Martell,6,3
Amory-Lorch,Tywin-Lannister,4,3
Amory-Lorch,Vargo-Hoat,3,3
Anders-Yronwood,Oberyn-Martell,3,3
Andrew-Estermont,Davos-Seaworth,4,3
Andrew-Estermont,Edric-Storm,4,3
Andrew-Estermont,Gerald-Gower,3,3
Anguy,Arya-Stark,15,3
Anguy,Beric-Dondarrion,4,3
Anguy,Greenbeard,9,3
Anguy,Harwin,7,3
Anguy,Husband,3,3
Anguy,Lem,22,3
Anguy,Sandor-Clegane,3,3
Anguy,Sharna,6,3
Anguy,Tom-of-Sevenstreams,12,3
Arson,Jon-Snow,3,3
Arstan,Belwas,25,3
Arstan,Daenerys-Targaryen,29,3
Arstan,Illyrio-Mopatis,3,3
Arstan,Jhiqui,3,3
Arstan,Jorah-Mormont,13,3
Arstan,Kraznys-mo-Nakloz,3,3
Arstan,Mero,7,3
Arstan,Rhaegar-Targaryen,7,3
Arthur-Dayne,Gerold-Hightower,5,3
Arthur-Dayne,Lewyn-Martell,3,3
Arthur-Dayne,Rhaegar-Targaryen,3,3
Arthur-Dayne,Smiling-Knight,4,3
Arya-Stark,Beric-Dondarrion,23,3
Arya-Stark,Bran-Stark,9,3
Arya-Stark,Brynden-Tully,4,3
Arya-Stark,Catelyn-Stark,3,3
Arya-Stark,Cersei-Lannister,6,3
Arya-Stark,Dunsen,3,3
Arya-Stark,Eddard-Stark,6,3
Arya-Stark,Elmar-Frey,4,3
Arya-Stark,Gendry,46,3
Arya-Stark,Greenbeard,9,3
Arya-Stark,Gregor-Clegane,6,3
Arya-Stark,Harwin,17,3
Arya-Stark,Hot-Pie,25,3
Arya-Stark,Ilyn-Payne,3,3
Arya-Stark,Jaime-Lannister,10,3
Arya-Stark,Joffrey-Baratheon,10,3
Arya-Stark,Jon-Snow,9,3
Arya-Stark,Lem,24,3
Arya-Stark,Mad-Huntsman,4,3
Arya-Stark,Meryn-Trant,3,3
Arya-Stark,Mycah,6,3
Arya-Stark,Nan,7,3
Arya-Stark,Pate-(Old),4,3
Arya-Stark,Polliver,11,3
Arya-Stark,Rafford,5,3
Arya-Stark,Ravella-Swann,7,3
Arya-Stark,Rickon-Stark,8,3
