x,y,weight
aang,toph,5
the boulder,the boulder,5
sokka,aang,4
xin fu,the boulder,4
lao,toph,4
sokka,the boulder,3
xin fu,toph,3
lao,yu,2
xin fu,xin fu,2
katara,aang,2
poppy,toph,2
katara,the boulder,2
toph,aang,2
lao,aang,2
the boulder,toph,1
aang,bumi,1
toph,the boulder,1
xin fu,fire nation man,1
xin fu,the hippo,1
xin fu,aang,1
poppy,aang,1
sokka,toph,1
aang,ozai,1
katara,yu,1
katara,xin fu,1
katara,toph,1
katara,ozai,1
gansu,lee,1
flyer distribution man,yu,1
fire nation man,ozai,1
aang,sokka,1
yu,toph,1
