character,hub_score,authority_score
aang,0.05420706339766087,0.06414732349331881
ozai,0.015657832319182434,0.035230650239215774
sokka,0.0564039691818747,0.0339164404066429
zuko,0.029996941155969643,0.03361823402948246
iroh,0.024802631723588785,0.03354462899791612
appa,-0.0,0.032286759538606415
katara,0.05638028585008956,0.027621218841618236
azula,0.027948067599334225,0.02747483306402698
kuei,0.015430545486862967,0.025128498248763467
kyoshi,0.00612968629359794,0.025026110815700855
sozin,0.008006980656922943,0.023587861266281145
jet,0.015421089939181199,0.01972060177830157
long feng,0.015693330629996515,0.019627816360703588
toph,0.03137419579900615,0.019451157067119376
zhao,0.017802337491333343,0.01937016313660454
momo,-0.0,0.019360604557901163
lee,-0.0,0.017423474512440532
roku,0.00983041179780949,0.017105958629460245
avatar roku,0.008452539696531881,0.016508821467062364
mai,0.013952152900186782,0.01582867045198312
the boulder,0.002503619207234106,0.015522904137578702
haru,0.00634057523227125,0.015051281651536266
joo dee,0.014946788359255461,0.014891451196530315
ty lee,0.013723025926096642,0.014724104105947685
gyatso,0.00440941826043609,0.01417916995850721
pakku,0.013739846084718225,0.014157778203841176
pipsqueak,0.009056965983607817,0.013828565731338128
jin,0.004450700034648488,0.013779778870410257
bato,0.00963699182228801,0.01371958715186033
bumi,0.0081619626013952,0.013618022270177384
wu,-0.0,0.013082729409145968
hama,0.002768902932080885,0.01266022002742322
moku,-0.0,0.012453723357746813
suki,0.015174722738781465,0.012403319124198396
jeong jeong,0.008808109669479085,0.01100632819941263
june,0.006715240102845009,0.010631263800538155
yue,0.01199509133715426,0.010533401068445733
the duke,0.0030140987994632428,0.010299331160765545
hakoda,0.016973900725026837,0.010231842975747652
general how,0.005750894471048082,0.009561884240725268
shyu,0.010763183650267351,0.008994867559790308
teo,0.00440941826043609,0.00879507615196287
pong,0.005002091355882475,0.008622088115457163
piandao,0.01255517219893119,0.008249046794853483
koko,0.00440941826043609,0.00824728056134496
fong,0.015066388715781085,0.006619773470690477
ding,-0.0,0.0063823996161338
yagoda,7.079816719999252e-05,0.005229354035508252
canyon guide,-0.0,0.00522560014885504
koh,0.00440941826043609,0.005132710894965196
princess yue,-0.0,0.004885820169881296
hahn,0.0030554344593061505,0.004885820169881296
chong,0.007587115769211826,0.004772267665392169
meng,0.007535016108715251,0.0047666159918203065
xin fu,0.007276667890167999,0.004747349138465234
yu,0.0013370516880146961,0.004681226651263287
pathik,0.007921931291064912,0.004633398428280491
lily,-0.0,0.004608428867441941
tong,0.00612968629359794,0.004418662072146915
yangchen,0.004711455084103344,0.004393970517272187
xu,0.0021990725574193948,0.004370443185950583
lu ten,-0.0,0.004303395621294177
huu,0.00440941826043609,0.004251144320165945
headmaster,-0.0,0.004249168332060717
fung,-0.0,0.004206442796401855
cabbage merchant,-0.0,0.004206442796401855
mechanist,0.0073453621282118095,0.004206442796401855
chit sang,-0.0,0.004206442796401855
ying,0.00440941826043609,0.004204676562893335
oyaji,0.006982277155661779,0.004204676562893335
haru's mother,0.0034563261033358347,0.004204676562893335
on ji,0.0005729044499649096,0.004085329534110487
herbalist,-0.0,0.004042603998451627
general sung,0.00440941826043609,0.004042603998451627
blue spirit,0.00697446104215173,0.003697488674637361
smellerbee,0.0036728122581728825,0.003675209325843863
azulon,0.004727538977778022,0.0033846841017639885
song,0.00691673882656284,0.002931362608486181
chan,0.00019567829325883024,0.002832095051495634
shinu,0.0013314842520446852,0.0024953614489785975
ursa,0.012753317224292954,0.0022370840008218203
qin,0.006831135395805193,0.0021853245020533076
ming,0.002305821842408919,0.0020320862386898693
mongke,0.004727538977778022,0.001849707619140828
jee,0.009026121476230033,0.001849707619140828
lieutenant jee,0.002305821842408919,0.0018497076191408268
the hippo,-0.0,0.0014480837824388966
longshot,-0.0,0.0014239672937604458
kya,-0.0,0.0012658637941135077
kanna,0.008639450997843101,0.0010299573925343247
ta min,-0.0,0.0007331233154748904
fire nation man,0.002421717135369102,0.000542672575571898
tyro,0.0018986529772893502,0.0004728615272593649
lin yee,0.005165981463698927,0.00038925467452732837
chey,0.005219495361905442,0.00038925467452732783
kuruk,0.004786773974571658,0.00035698358103867795
blue dragon,0.004732598508754126,0.0003547619667595567
wan shi tong,0.0003184432292287303,0.00021398550925358177
due,0.00029372483968281274,0.00019576136501776295
zei,0.0025508771570204457,0.0001902369460393009
ham ghao,-0.0,0.00017284751501675066
qin lee,0.0013548331727020436,0.00010103948928243535
sela,0.0012038422769153124,9.024403668639349e-05
gow,-0.0,9.024403668639276e-05
gansu,0.0012100775192904773,8.977903057506335e-05
tho,0.0003056755303707782,2.1905138129979088e-05
ruon-jian,-0.0,1.4593113907227562e-05
yon rha,0.0018986529772893502,3.734935818087562e-19
ghashiun,0.00440941826043609,1.2449786060291872e-19
fire navy officer,0.0001946751782505189,-0.0
ukano,0.0009360882543353455,-0.0
ticket lady,0.0013370516880146961,-0.0
actress yue,0.0023313797601176617,-0.0
kenji,0.00440941826043609,-0.0
kwan,0.004043121436095791,-0.0
pirate captain,0.005740245466026096,-0.0
shuzumu,0.002421717135369102,-0.0
joo dee replacement,0.0010236223938043596,-0.0
red dragon,0.004756984466096535,-0.0
southern raiders commander,2.567354848335551e-20,-0.0
scary prisoner,0.00440941826043609,-0.0
sha-mo,8.557849494451836e-21,-0.0
iio,0.0022193572440269965,-0.0
brainwasher,0.0010236223938043596,-0.0
gan jin tribesman,0.00035920215315762724,-0.0
flyer distribution man,0.00032178250242148165,-0.0
earthbender captain,0.004727538977778022,-0.0
calm man,0.0008992927968232508,-0.0
southern water tribe girl,0.00440941826043609,-0.0
sun warrior chief,0.0023177031953240607,-0.0
young zuko,0.004490223220651356,-0.0
actor zuko,0.011025547814055858,-0.0
actress aang,0.007095818494682361,-0.0
lao,0.006068252450872268,-0.0
arnook,0.009109735301612928,-0.0
tashi,0.00440941826043609,-0.0
pasang,0.005384079205399452,-0.0
mung,0.0018986529772893502,-0.0
mother superior,0.00440941826043609,-0.0
zhang leader,0.005715827643249791,-0.0
actor iroh,0.006720299633821113,-0.0
great fire sage,0.01000067122669137,-0.0
actress azula,0.006720299633821113,-0.0
gan jin leader,0.007614480620539141,-0.0
poppy,0.005746469948450786,-0.0
yung,0.0009360882543353455,-0.0
quon,-2.567354848335551e-20,-0.0
actress katara,0.01040725242259504,-0.0
actor sokka,0.006470524647639276,-0.0
senlin village leader,0.00440941826043609,-0.0
actor jet,0.0030828790642225723,-0.0
kay-fon,0.006628775504463087,-0.0
actor ozai,0.006720299633821113,-0.0
actor toph,0.0013370516880146961,-0.0
yon rha's mother,2.567354848335551e-20,-0.0
warden poon,0.002445505272358935,-0.0
michi,0.0010880458408630096,-0.0
old sweepy,-8.557849494451836e-21,-1.2449786060291872e-19
pao,0.0023192782688128536,-3.734935818087562e-19
