character,hub_score,authority_score
aang,0.050286796050515586,0.05159114006838244
sokka,0.040938184563927935,0.047229246019658375
katara,0.03992867004957638,0.04327471583365299
toph,0.023698067658482994,0.025432526244104952
zuko,0.022456481371734557,0.02496510008256641
iroh,0.020404269183555555,0.01878918297868608
azula,0.018228303107784886,0.017883765948804104
suki,0.015822180050929432,0.017738451918950893
jet,0.013884973132890223,0.015114371207770353
kuei,0.012488103662758949,0.013197753802252007
long feng,0.014013780824227816,0.012068024427482036
bumi,0.011665619671715947,0.011877558788889478
pakku,0.010487035063778596,0.011281002827055334
bato,0.009770690171933421,0.010906109921181954
jeong jeong,0.011078194655933115,0.010874873674646644
joo dee,0.010989297176289126,0.010869655298941083
pirate captain,0.011371957461761926,0.010621169598447385
zei,0.010810012748299583,0.010568898439822281
shyu,0.011149305689021767,0.010462388662673858
zhao,0.011395018213915876,0.010229397039223573
zhang leader,0.007470984493469625,0.01016920217577509
lao,0.008061081235629729,0.010140805694898085
canyon guide,0.010129396198812183,0.00999808362861327
teo,0.009588628372843416,0.009977025176482923
general sung,0.007602924452350777,0.009967606225779553
ying,0.009844365340896822,0.009967606225779553
wu,0.008928767465781976,0.009835491859813604
yue,0.010244527376404756,0.009581857901074376
hakoda,0.014072209051693417,0.009547870352603462
wan shi tong,0.009341373490220984,0.009138018683887458
chong,0.008890932210057169,0.00908902975643785
kay-fon,0.009247665678854872,0.009037452409616011
senlin village leader,0.009247665678854872,0.009037452409616007
smellerbee,0.009168578023958311,0.008857944923599339
chey,0.0062325205047146105,0.00847557448780325
huu,0.0096303930037516,0.008442192047037996
kanna,0.008694672057841373,0.008442192047037996
tong,0.008694672057841373,0.008442192047037996
calm man,0.008694672057841373,0.008442192047037996
oyaji,0.008694672057841373,0.008442192047037996
moku,0.006602880535868296,0.008442192047037996
xu,0.008694672057841373,0.008442192047037996
fong,0.005804756781899366,0.008442192047037996
hama,0.008694672057841373,0.008442192047037996
headmaster,0.008694672057841373,0.008442192047037996
xin fu,0.007427112677462014,0.008400834362519628
the duke,0.006461764847456699,0.007862719766362634
pipsqueak,0.00745267856672251,0.007850024719731374
mai,0.006790119511310175,0.007767639004564513
chit sang,0.005502907387118241,0.007669243843600599
ozai,0.010009592522348449,0.007604691975388651
pong,0.007094049899766234,0.0073324678640490065
ty lee,0.01159444947548433,0.007107387213330289
gan jin leader,0.009928690218879377,0.006939967585553039
mechanist,0.007000312661949335,0.006747010520036921
haru,0.010382318231083192,0.006615047495260521
general how,0.006345415128788348,0.006610896879077206
arnook,0.006310257437381648,0.006539759618582948
tyro,0.00660996032486265,0.006502518838272049
gan jin tribesman,0.006771874551637424,0.006338209470980253
roku,0.004832670610094356,0.005971553011887136
meng,0.008694672057841373,0.005872034838033882
piandao,0.009348419208025432,0.005849987590213944
malu,0.008694672057841373,0.005807053685307445
koko,0.0031568156672419543,0.005807053685307445
old sweepy,0.005804756781899366,0.005807053685307445
qin,0.004004553859631667,0.005607149892711107
tho,0.003500552597503376,0.005583752800662976
herbalist,0.0046844077881070595,0.0053323620269060115
actress aang,0.001923172081555101,0.005164941581912485
ticket lady,0.007632988228886441,0.004762310655044893
ghashiun,0.0048895330228362925,0.004762310655044893
sun warrior chief,0.0049017770383815145,0.004700906632470553
great fire sage,0.008840434904190285,0.004688045651302549
dai li agent,0.0007384316092809376,0.004430945322395391
king bumi,0.004251107292928896,0.004410228935967421
due,0.0058795212249057585,0.004386170488573726
june,0.01009761776163656,0.00428430564410292
momo,0.0033681444539491127,0.003554265883224479
ham ghao,0.00028764426775517734,0.0035524175687034706
tashi,0.0033698350572303314,0.0035058965777483835
chan,0.0017366703616757224,0.0035052760034823484
gyatso,0.0037515082525253,0.003481328764366344
shoji,0.0031568156672419543,0.0034536996089530344
appa,0.004930491523393825,0.0034536996089530292
haru's mother,0.00594262522387019,0.0032512593173642185
fire nation man,0.0031568156672419543,0.003249695936950683
pathik,0.0031568156672419543,0.00323689647630333
baboon spirit,0.0031568156672419543,0.00323689647630333
kyoshi,0.0031568156672419543,0.00323689647630333
on ji,0.0031568156672419543,0.00323689647630333
mother superior,0.0067140660441764215,0.00323689647630333
kenji,0.0031568156672419543,0.00323689647630333
kwan,0.0031568156672419543,0.00323689647630333
koh,0.0031568156672419543,0.00323689647630333
scary prisoner,0.0031568156672419543,0.00323689647630333
southern water tribe girl,0.0028899152759420087,0.00323689647630333
gan jin man,0.0031568156672419543,0.00323689647630333
avatar roku,0.0031568156672419543,0.00323689647630333
yangchen,0.0031568156672419543,0.00323689647630333
storyteller,0.0060467309431839625,0.00323689647630333
music teacher,0.003368144453949113,0.00323689647630333
sensitive ruffian,0.0031568156672419543,0.00323689647630333
ping,0.0006395111757868272,0.003209871655907586
lily,0.0034460648686263427,0.0032074362490900066
hahn,0.0028899152759420087,0.00304132152844312
lin yee,0.0005186128140705845,0.003036317701928188
actress katara,0.0017544705612198214,0.002990437976632103
the boulder,0.0026544586798201092,0.0029208019637250436
sha-mo,-0.0,0.002884890169849118
actor sokka,0.003410791079661843,0.0028832195284756025
quon,0.0011542394444914788,0.002844097690797337
fung,0.0031913249366456536,0.002758891465361361
broadsword man,0.001149693283055448,0.002758891465361361
song,0.0027685553755693003,0.002758891465361361
jin,0.002677285403920553,0.002758891465361361
jee,0.002677285403920553,0.002758891465361361
