character,pagerank_score
aang,0.17537268332829767
katara,0.05967973050908905
sokka,0.05379934070910526
zuko,0.05177204052058833
iroh,0.04509721787327936
ozai,0.04410153226877007
appa,0.04255986302723352
toph,0.023550498562358656
momo,0.019008961448152444
azula,0.01740634390044174
roku,0.016249298750137548
kyoshi,0.015443245033531299
sozin,0.014596308501403739
jet,0.012568907453513732
zhao,0.011561601432478648
old sweepy,0.010472303720412366
the boulder,0.010287223712015469
kuei,0.010202796332050202
lee,0.009302638029564334
bumi,0.007923990312357975
mai,0.00678956063735504
jeong jeong,0.006409804540564519
joo dee,0.006164990046492941
chan,0.006143798406280556
long feng,0.006057427474103074
wu,0.005925130050828332
avatar roku,0.005415259251421898
due,0.005200613033688464
suki,0.0049071692111417676
gyatso,0.0048383833337583984
jin,0.004704380023344952
yue,0.004644673952081335
huu,0.004634813636222574
haru,0.004404707553149035
pipsqueak,0.004341286678444635
yon rha,0.004243079274783733
tho,0.004223824450258654
the duke,0.0042138122063516146
ruon-jian,0.004182626374492705
king bumi,0.003802735596792813
wan shi tong,0.0036774139167537285
tong,0.0036631031749343743
smellerbee,0.0035331556814430735
ty lee,0.0034486506689161683
canyon guide,0.003391188280490613
kanna,0.0033893503434754627
lu ten,0.0033766805696272212
yu,0.0033355305971386985
pong,0.0033263204413260944
pakku,0.0033226163392314854
song,0.0032119072034340335
on ji,0.0031552890180127375
blue spirit,0.003147650435036618
azulon,0.003038022560586581
headmaster,0.0030108519993515817
shinu,0.002956235941514296
pao,0.0029072948743377692
ghashiun,0.0029072948743377692
ming,0.0029060578355751005
bato,0.0028470276783881645
koh,0.002789737395951874
the hippo,0.0027893849438205857
longshot,0.002734825603746347
xu,0.0026790861818680217
fong,0.0026630753511373423
teo,0.002660063912176769
hama,0.002615494604707933
gansu,0.002461727649950348
june,0.002397245656256122
qin,0.002360935284223387
princess yue,0.0023187194272076272
general how,0.002306167087088121
yangchen,0.0023038612144868835
shyu,0.002250826606365045
ham ghao,0.002239402674114787
mongke,0.002238165635352119
hakoda,0.002207435831371166
kuruk,0.0021928056597265745
qin lee,0.0021928056597265745
meng,0.002115301956923956
sela,0.002094627812878642
gow,0.002094627812878642
blue dragon,0.0020167719407071264
lily,0.0020128046079770485
ding,0.0020105447807970225
moku,0.0020069230643694003
tyro,0.0019875109137661717
pathik,0.001941216201651476
ta min,0.0019256622168924485
xin fu,0.001916407312792484
piandao,0.0019126334416799625
koko,0.0019085800898058997
lieutenant jee,0.0019048380546219622
jee,0.0019048380546219622
chey,0.0018933862630416856
lin yee,0.0018933862630416856
yagoda,0.0018830482353340353
chong,0.0018683675893158926
hahn,0.001827004554390125
general sung,0.001814290467116462
herbalist,0.001814290467116462
zei,0.0017887112029093886
ursa,0.0017733741391559672
mechanist,0.0017681964230188063
fire nation man,0.0016968140819974258
fung,0.0016698534484553059
chit sang,0.0016698534484553059
cabbage merchant,0.0016698534484553059
oyaji,0.0016658000965812433
ying,0.0016658000965812433
haru's mother,0.0016658000965812433
kya,0.001628368699754171
great fire sage,0.0015715104738918055
zhang leader,0.0015715104738918055
calm man,0.0015715104738918055
gan jin leader,0.0015715104738918055
senlin village leader,0.0015715104738918055
actress katara,0.0015715104738918055
actress azula,0.0015715104738918055
actor iroh,0.0015715104738918055
actor sokka,0.0015715104738918055
actress aang,0.0015715104738918055
kay-fon,0.0015715104738918055
young zuko,0.0015715104738918055
arnook,0.0015715104738918055
lao,0.0015715104738918055
actor zuko,0.0015715104738918055
tashi,0.0015715104738918055
pasang,0.0015715104738918055
poppy,0.0015715104738918055
quon,0.0015715104738918055
kenji,0.0015715104738918055
michi,0.0015715104738918055
gan jin tribesman,0.0015715104738918055
kwan,0.0015715104738918055
actor jet,0.0015715104738918055
joo dee replacement,0.0015715104738918055
yung,0.0015715104738918055
mother superior,0.0015715104738918055
mung,0.0015715104738918055
actor ozai,0.0015715104738918055
yon rha's mother,0.0015715104738918055
warden poon,0.0015715104738918055
red dragon,0.0015715104738918055
shuzumu,0.0015715104738918055
sha-mo,0.0015715104738918055
flyer distribution man,0.0015715104738918055
brainwasher,0.0015715104738918055
fire navy officer,0.0015715104738918055
pirate captain,0.0015715104738918055
scary prisoner,0.0015715104738918055
earthbender captain,0.0015715104738918055
southern water tribe girl,0.0015715104738918055
southern raiders commander,0.0015715104738918055
iio,0.0015715104738918055
sun warrior chief,0.0015715104738918055
ticket lady,0.0015715104738918055
actress yue,0.0015715104738918055
actor toph,0.0015715104738918055
ukano,0.0015715104738918055
