character,pagerank_score
aang,0.15447877962465958
sokka,0.1333635346029277
katara,0.12494526423597682
zuko,0.07079817526401672
toph,0.045072131776384056
iroh,0.03136126758668831
azula,0.01618754553041599
actor zuko,0.012928627697121687
jet,0.011350477131473634
suki,0.01054831391854723
mai,0.008250109055279238
actress azula,0.008075030796558452
actress katara,0.007957557615163618
zhao,0.007431228923439826
hakoda,0.007288951834786977
roku,0.006962514855541956
ty lee,0.006284363143585149
actress aang,0.0060404442402385355
male fire nation soldier,0.005980703065506805
female fire nation soldier,0.005980703065506805
ozai,0.005962369993992246
long feng,0.005536499193273732
actor sokka,0.005312896050257784
yue,0.005088763230070068
actor iroh,0.005018217096873145
mechanist,0.004799481823394752
yon rha,0.004709509121671342
wu,0.004534400079246859
kuei,0.004471525816576106
haru,0.004165233441385446
bato,0.004095347121626229
zhang leader,0.004095203604776776
xin fu,0.004078051596328823
chong,0.0039272609143749465
pakku,0.003872733380612554
teo,0.003856147613831781
gyatso,0.0036534645014413276
bumi,0.0036428771471407133
jeong jeong,0.0035810514350961284
shyu,0.0035535268187562494
sozin,0.003468010282932412
due,0.00342488518158534
tho,0.0032976156810279335
gan jin leader,0.003227427704253821
pathik,0.003182715369629636
chey,0.003078217947158528
young zuko,0.0030077023746158307
zei,0.003003151808876442
yu,0.002958276604479857
smellerbee,0.0029487721914177242
sun warrior chief,0.0028365553233602597
joo dee,0.002830472826180421
hama,0.002724688126707426
haru's mother,0.0026074249347596604
june,0.0026044474048435916
piandao,0.002512010013235175
meng,0.002488210900669339
canyon guide,0.0024852710310845905
the boulder,0.0024478964005350923
lee,0.0024457229791032178
lao,0.0024255588342942448
tashi,0.0023732051075349946
pirate captain,0.002353332055536344
kya,0.0023527973688958247
gansu,0.0023079341113140055
ursa,0.002306905819663759
wan shi tong,0.002256682075954916
fong,0.0022402767747653194
gow,0.002214569546830806
oyaji,0.0022049604190597515
arnook,0.002189201351527941
herbalist,0.0021498768916050014
chan,0.002146673871932642
ming,0.002138598511584688
kay-fon,0.002113743254089521
gan jin tribesman,0.0020769521887249987
jin,0.0020375036566015123
ticket lady,0.002015702255730352
senlin village leader,0.001996545308139013
great fire sage,0.0018992409848753947
quon,0.0018895596118225053
calm man,0.0018862394621931553
huu,0.001883868928564336
chit sang,0.0018713661136939281
pipsqueak,0.0018569742787727349
hahn,0.0018420395168591425
tyro,0.0018345998674435308
warden poon,0.001806034785798937
tong,0.0017896184100402882
the duke,0.001776521042790618
ying,0.0017751374694900813
fire nation man,0.001773971147511131
earth kingdom soldier,0.0017640432187668279
earthbender captain,0.001726461274516157
jee,0.0017215296103828058
shoji,0.0017055719637058984
song,0.0017018029538494006
kwan,0.0016970853795561741
xu,0.0016576810021818535
general sung,0.0016548030360237366
actor ozai,0.0016306219520019485
yon rha's mother,0.0016249640692062213
qin,0.0016214922063603346
poi,0.001612295371104278
king bumi,0.0015851320036896087
mother superior,0.0015828061495505234
kanna,0.0015546013947314139
shinu,0.0015509942885087017
yagoda,0.0015440548177650883
pao,0.0015395807899040493
pasang,0.001518219456039814
head of dai li,0.001480156190240299
fung,0.001474714709259092
ruon-jian,0.001468908050072341
koh,0.0014685269195448725
general how,0.001463936831051999
headmaster,0.0014444101863945163
appa,0.0014265010220756828
momo,0.0014155851853532137
lin yee,0.0014051168904628578
ukano,0.0013950164276557851
tycho,0.0013710339152306402
lily,0.0013652161669443393
poppy,0.001355291644419419
kenji,0.0013542476895392216
yangchen,0.0013542476895392216
sela,0.001351307258697235
malu,0.0013477891342416491
ham ghao,0.0013448774785218022
old sweepy,0.0013413305789440767
red dragon,0.0013266675313747087
sha-mo,0.0013221810356182251
dai li agent,0.001261586856182361
song's mother,0.001256695158924481
fire navy officer,0.0012552500632112063
shuzumu,0.0012469460219508267
music teacher,0.0012399684595335706
koko,0.0012335099042359982
pong,0.0012274547007753043
moku,0.0012246808153096062
southern water tribe boy,0.0012134811927543949
ping,0.0012054355312479054
bujing,0.0011527853372145015
broadsword man,0.001129150678240278
storyteller,0.0011256892295279197
kyoshi,0.0011256892295279197
on ji,0.0011256892295279197
avatar roku,0.0011256892295279197
southern raiders commander,0.0011242190141069267
ghashiun,0.001119634026067226
ding,0.001108031051675136
tax collector,0.001108031051675136
macmu-ling,0.001108031051675136
cabbage merchant,0.0010684653797596053
azulon,0.0010341040181265485
mongke,0.0010156065559451235
lieutenant jee,0.0010156065559451235
baboon spirit,0.0010114099995222688
scary prisoner,0.0010114099995222688
southern water tribe girl,0.0010114099995222688
gan jin man,0.0010114099995222688
sensitive ruffian,0.0010114099995222688
blue dragon,0.0010106748918117723
actress yue,0.0010092064889992464
actor toph,0.0010053547960615751
yung,0.0010049514442246963
joo dee replacement,0.0010049514442246963
man with red shoes,0.001002580910595877
michi,0.000897130769516618
actor jet,0.000897130769516618
princess yue,0.000897130769516618
longshot,0.000897130769516618
blue spirit,0.000897130769516618
ta min,0.000897130769516618
the hippo,0.000897130769516618
unnamed fire nation boy,0.000897130769516618
