x,y,weight
Aang,Aang,106
Katara,Aang,77
Sokka,Aang,71
Sokka,Sokka,67
Aang,Katara,56
Sokka,Katara,54
Aang,Appa,50
Katara,Sokka,48
Aang,Sokka,47
Zuko,Zuko,38
Katara,Katara,36
Iroh,Zuko,31
Sokka,Appa,30
Aang,Momo,27
Iroh,Iroh,24
Zuko,Iroh,23
Zuko,Aang,21
Toph,Toph,20
Sokka,Momo,17
Toph,Sokka,16
Aang,Zuko,16
Sokka,Zuko,16
Toph,Aang,15
Katara,Appa,14
Katara,Jet,13
Aang,Roku,13
Aang,Toph,13
Zhao,Zhao,12
Sokka,Toph,12
Toph,Katara,12
Katara,Toph,12
Sokka,Suki,12
Sokka,Kyoshi,10
Katara,Zuko,10
Katara,Momo,10
Azula,Zuko,9
Sozin,Roku,7
Piandao,Sokka,7
Azula,Azula,7
Suki,Sokka,7
Azula,Mai,7
Mechanist,Sokka,7
Zuko,Azula,6
Zuko,Zhao,6
Roku,Roku,6
Azula,Lee,6
Piandao,Piandao,6
Zhao,Zuko,6
Zhang leader,Jin,6
Suki,Suki,6
Suki,Kyoshi,6
Aang,Bumi,6
Hakoda,Sokka,6
Zuko,Sokka,6
Zuko,Katara,6
Azula,Ty Lee,6
Ty Lee,Azula,6
Jet,Aang,5
Katara,Kyoshi,5
Bumi,Aang,5
Bumi,Bumi,5
Ty Lee,Lee,5
Aang,The Boulder,5
Calm man,Aunt Wu,5
Aang,Jeong Jeong,5
Toph,Zuko,5
Ty Lee,Ty Lee,5
Zei,Zei,5
Calm man,Wu,5
Aang,Avatar Roku,4
Zuko,Lee,4
Zuko,Appa,4
Zhao,Iroh,4
Aang,Jin,4
Sokka,Wu,4
Azula,Iroh,4
Sokka,Aunt Wu,4
Sun Warrior chief,Zuko,4
Toph,The Boulder,4
Toph,Appa,4
Actress Katara,Katara,4
Aang,Ozai,4
Ozai,Zuko,4
Iroh,Zhao,4
Gyatso,Aang,4
Hakoda,Aang,4
June,June,4
Hama,Hama,4
Iroh,Azula,4
Jet,Smellerbee,4
Jet,Sokka,4
Katara,Haru,4
Pakku,Katara,4
Chan,Chan,4
Roku,Aang,4
Roku,Sozin,4
Shyu,Roku,4
Mai,Mai,4
Yue,Yue,4
Aang,Wu,3
Aang,Aunt Wu,3
Zei,Sokka,3
Aang,Zhao,3
Yue,Sokka,3
Young Zuko,Azula,3
Xin Fu,The Boulder,3
Ty Lee,Zuko,3
Yue,Appa,3
Sokka,Yue,3
Actress Aang,Aang,3
Actress Katara,Actress Katara,3
The Boulder,The Boulder,3
Toph,Jet,3
Bato,Katara,3
Bato,Sokka,3
Sokka,Bumi,3
Sokka,Iroh,3
Sokka,Jet,3
Sokka,Lee,3
Arnook,Pakku,3
Sokka,Long Feng,3
Sokka,Ty Lee,3
Arnook,Yue,3
Sozin,Sozin,3
Shyu,Avatar Roku,3
Pakku,Sokka,3
Pathik,Appa,3
Shyu,Sokka,3
Shyu,Shyu,3
Kuei,Kyoshi,3
Long Feng,Long Feng,3
Koh,Koh,3
Fong,Katara,3
Oyaji,Kyoshi,3
Ozai,Ozai,3
Mechanist,Aang,3
Pakku,Pakku,3
Jet,Katara,3
Jet,Jet,3
Hakoda,Katara,3
Hakoda,Hakoda,3
Zuko,Momo,3
Aang,Kyoshi,3
Aang,Iroh,3
Aang,Gyatso,3
Zei,Aang,2
Yung,King Bumi,2
Yung,Bumi,2
Hama,Katara,2
Hakoda,Momo,2
Yue,Aang,2
Yon Rha,Yon Rha,2
Yangchen,Aang,2
Xu,Sokka,2
Xin Fu,The Hippo,2
Wu,Wu,2
Wu,Aang,2
Warden Poon,Iroh,2
Wan Shi Tong,Wan Shi Tong,2
Wan Shi Tong,Tong,2
Ursa,Zuko,2
Ursa,Iroh,2
Iroh,Jee,2
Iroh,Appa,2
Iroh,Aang,2
Iio,Appa,2
Hide,On Ji,2
Tyro,Katara,2
Toph,Suki,2
Toph,Momo,2
Actress Katara,Aang,2
Actress Aang,Sokka,2
Actress Aang,Actor Sokka,2
Actor Zuko,Iroh,2
Toph,Iroh,2
Toph,Azula,2
Tong,Aang,2
Sun Warrior chief,Sun Warrior chief,2
Sun Warrior chief,Aang,2
Sokka,Zei,2
Fung,Yu,2
Jet,Iroh,2
Jet,Appa,2
Jee,Zuko,2
Iroh,Tycho,2
Sokka,The Boulder,2
Sokka,Princess Yue,2
Sokka,Mai,2
Sokka,Joo Dee,2
Sokka,Jin,2
Sokka,Hakoda,2
Sokka,Chit Sang,2
Sokka,Azula,2
Bato,Aang,2
Azula,Long Feng,2
Azula,Kyoshi,2
Jin,Iroh,2
Jet,Zuko,2
Jet,The Duke,2
Jet,Longshot,2
Gyatso,Gyatso,2
