x,y,sentiment
Sokka,Katara,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.6124}"
Katara,Sokka,"{'neg': 0.0, 'neu': 0.257, 'pos': 0.743, 'compound': 0.6996}"
Sokka,Katara,"{'neg': 0.067, 'neu': 0.818, 'pos': 0.115, 'compound': 0.3164}"
Katara,Sokka,"{'neg': 0.142, 'neu': 0.858, 'pos': 0.0, 'compound': -0.3578}"
Sokka,Katara,"{'neg': 0.141, 'neu': 0.744, 'pos': 0.115, 'compound': 0.3182}"
Sokka,Katara,"{'neg': 0.301, 'neu': 0.65, 'pos': 0.05, 'compound': -0.8619}"
Katara,Jet,"{'neg': 0.084, 'neu': 0.818, 'pos': 0.099, 'compound': 0.126}"
Sokka,Katara,"{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.3818}"
Katara,Katara,"{'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.734}"
Sokka,Katara,"{'neg': 0.225, 'neu': 0.775, 'pos': 0.0, 'compound': -0.5411}"
Sokka,Katara,"{'neg': 0.327, 'neu': 0.544, 'pos': 0.129, 'compound': -0.4404}"
Sokka,Katara,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Zuko,Iroh,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Zuko,Iroh,"{'neg': 0.077, 'neu': 0.804, 'pos': 0.118, 'compound': 0.3131}"
Iroh,Zuko,"{'neg': 0.059, 'neu': 0.801, 'pos': 0.14, 'compound': 0.8381}"
Zuko,Aang,"{'neg': 0.223, 'neu': 0.777, 'pos': 0.0, 'compound': -0.7214}"
Aang,Katara,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Aang,Appa,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.5983}"
Aang,Appa,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Sokka,Katara,"{'neg': 0.253, 'neu': 0.747, 'pos': 0.0, 'compound': -0.5267}"
