x,y,neg,neu,pos,compound,episode,line
sokka,katara,0.0,0.865,0.135,0.6124,1,"It's not getting away from me this time. [Close-up of Sokka as he grins confidently over his shoulder in the direction of Katara.] Watch and learn, Katara. This is how you catch a fish."
katara,sokka,0.0,0.257,0.743,0.6996,1,"[Happily surprised.] Sokka, look!"
sokka,katara,0.067,0.818,0.115,0.3164,1,"[Close-up of Sokka; whispering.] Sshh! Katara, you're going to scare it away. [A look of bliss adorns his face. He licks his lips and wiggles his fingers, not taking his eyes off the fish.] Mmmm ... I can already smell it cookin'."
katara,sokka,0.142,0.858,0.0,-0.3578,1,"[Struggling with the water that passes right in front of her.] But, Sokka! I caught one!"
sokka,katara,0.157,0.843,0.0,-0.3818,1,"[Pointing to the iceberg behind her, his voice subdued by fright.] Uh ... Katara ..."
sokka,katara,0.225,0.775,0.0,-0.5411,1,"[In a screeching voice, his eyes open wide in fear.] Katara, settle down!"
sokka,katara,0.327,0.544,0.129,-0.4404,1,"Okay, you've gone from ""weird"" to ""freakish"", [He releases her.] Katara."
sokka,katara,0.0,1.0,0.0,0.0,1,"Katara, get back here! [He grabs his spear from the ice and runs after Katara, who is already at the ice's edge.] We don't know what that thing is!"
zuko,iroh,0.0,1.0,0.0,0.0,1,"Finally! [He turns around to face another person in uniform, who sits at a small table.] Uncle, do you realize what this means?!"
iroh,zuko,0.059,0.801,0.14,0.8381,1,"[With continuing disinterest and an air of skepticism.] Or it's just the celestial lights. We've been down this road before, Prince Zuko. [He looks at the tile in his hand, depicting the symbol of airbending.] I don't want you to get too excited over nothing. [He places it on a tile carrying the symbol of firebending and gestures toward the open place at the other side of the table while continuing in a relaxed voice.] Please, sit. Why don't you enjoy a cup of calming Jasmine tea?"
zuko,aang,0.223,0.777,0.0,-0.7214,1,"[Furiously, still facing Iroh.] I don't need any calming tea! I need to capture the Avatar! Helmsman, head a course for the light!"
aang,appa,0.0,0.87,0.13,0.5983,1,"[Exclaims happily.] Appa! Are you all right? [He hangs down the side of the beast to look at its eyes, which are still closed.] Wake up, buddy."
aang,appa,0.0,1.0,0.0,0.0,1,"This is Appa, my flying bison."
sokka,katara,0.253,0.747,0.0,-0.5267,1,"[Sarcastically.] Right, and this is Katara, my flying sister. [Katara shoots him an odd look.]"
katara,sokka,0.171,0.658,0.171,0.0,1,"[Pushes Sokka's spear away again and addresses him sarcastically.] Oh yeah, I'm sure he's a spy for the Fire Navy. You can tell by that evil look in his eye. [Aang shoots the two an earnest grin.] The paranoid one is my brother, Sokka. You never told us your name."
aang,aang,0.0,0.921,0.079,0.3595,1,"I'm A ... a-a-a-Achoo! [The boy sneezes, creating an air blast that sends him soaring into the air. He lands on the ground, unharmed.] I'm Aang. [He sniffles a bit.]"
sokka,appa,0.116,0.884,0.0,-0.6249,1,"Giant light beams, flying bison, airbenders ... [Walks away.] I think I got midnight sun madness. I'm going home to where stuff makes sense. [He realizes, however, that he is stranded in the middle of the ocean with no way home.]"
aang,appa,0.095,0.806,0.1,0.0258,1,"Well, if you guys are stuck, Appa and I can give you a lift. [Aang airbends himself onto Appa.]"
aang,appa,0.0,0.763,0.237,0.3578,1,"Okay, first time flyers, hold on tight! Appa, yip-yip!"
aang,appa,0.0,1.0,0.0,0.0,1,"Come on, Appa. Yip-yip!"
aang,appa,0.107,0.782,0.111,0.0498,1,"[Katara shoots her brother an angry glance.] Appa's just a little tired. A little rest and he'll be soaring through the sky. You'll see. [Katara smiles at Aang, who returns this gesture. When she wants to move back, she realizes that he is still smiling at her.]"
iroh,aang,0.116,0.778,0.106,-0.1796,1,"I'm going to bed now. [Yawns and stretches.] Yep, a man needs his rest. [After a short pause, he abandons his try at a veiled suggestion and delivers his request more clearly, his tone tired.] Prince Zuko, you need some sleep. Even if you're right, and the Avatar is alive, you won't find him. Your father, grandfather and great-grandfather all tried and failed."
iroh,zuko,0.116,0.778,0.106,-0.1796,1,"I'm going to bed now. [Yawns and stretches.] Yep, a man needs his rest. [After a short pause, he abandons his try at a veiled suggestion and delivers his request more clearly, his tone tired.] Prince Zuko, you need some sleep. Even if you're right, and the Avatar is alive, you won't find him. Your father, grandfather and great-grandfather all tried and failed."
zuko,aang,0.098,0.759,0.143,0.25,1,Because their honor didn't hinge on the Avatar's capture. Mine does. This coward's hundred years in hiding are over.
katara,aang,0.0,1.0,0.0,0.0,1,"I guess I was wondering, your being an airbender and all, if you had any idea what happened to the Avatar?"
katara,aang,0.0,0.914,0.086,0.6103,1,"Aang? Aang! Wake up. [Aang shoots up, throwing the covers of his body and gasping for air. Katara perches beside him and stands up as she sees that Aang is awake.] It's okay, we're in the village now! Come on, get ready. [She points to the door of the tent.] Everyone's waiting to meet you."
katara,aang,0.0,1.0,0.0,0.0,1,"Aang, this is the entire village. [Points to the line of villagers in front of them.] Entire village, Aang."
aang,appa,0.156,0.716,0.128,-0.1431,1,"[Uncomfortably.] Uh, why are they all looking at me like that? Did Appa sneeze on me?"
katara,aang,0.0,1.0,0.0,0.0,1,"[Gesturing.] Aang, this is my grandmother."
sokka,katara,0.136,0.678,0.186,0.4588,1,"[Annoyed.] Great. You're an airbender, Katara's a waterbender. Together you can just waste time all day long. [He wedges himself free from underneath the weight of the snow and stalks off.]"
kanna,katara,0.312,0.688,0.0,-0.474,1,"All right, no more playing. Come on, Katara, you have chores."
kanna,katara,0.0,0.662,0.338,0.6249,1,"[Calmly.] Katara, try not to put all your hopes in this boy."
zuko,aang,0.117,0.859,0.024,-0.8267,1,"[The suppressed anger is very apparent in his voice.] The sages tell us that the Avatar is the last airbender. [Close-up of Iroh, who does not look pleased with the attitude of his nephew.] He must be over a hundred years old by now. He's had a century to master the four elements! I'll need more than basic firebending to defeat him. [Starts to yell at his uncle.] You will teach me the advanced set!"
katara,aang,0.202,0.798,0.0,-0.5106,1,[Runs up to Sokka as the children leave. In a worried tone.] Have you seen Aang? Gran-Gran said he disappeared over an hour ago.
sokka,katara,0.282,0.718,0.0,-0.7412,1,"[Annoyed.] Uh! [Angrily points at Aang.] Katara, get him out of here! This lesson is for warriors only!"
katara,aang,0.0,1.0,0.0,0.0,1,Aang?
katara,aang,0.0,0.686,0.314,0.6705,1,"[Amused.] Hehehe, Aang, I'll help you catch a penguin if you teach me waterbending."
aang,appa,0.063,0.799,0.138,0.5916,1,"But you forget, I have a flying bison. [He happily points at himself.] Appa and I can personally fly you to the North Pole. Katara, we're going to find you a master!"
aang,katara,0.063,0.799,0.138,0.5916,1,"But you forget, I have a flying bison. [He happily points at himself.] Appa and I can personally fly you to the North Pole. Katara, we're going to find you a master!"
katara,aang,0.214,0.786,0.0,-0.8507,1,"[On a slightly dark tone.] A Fire Navy ship. And a very bad memory for my people. [Aang begins to approach the wreckage.] Aang, stop! We're not allowed to go near it! The ship could be booby-trapped!"
katara,aang,0.0,1.0,0.0,0.0,1,"Aang, how long were you in that iceberg?"
katara,aang,0.071,0.769,0.159,0.3818,1,"[Squats beside him.] I'm sorry, Aang. Maybe somehow there's a bright side to all this ..."
katara,aang,0.0,1.0,0.0,0.0,1,"Aang, let's head back, this place is creepy."
zuko,aang,0.059,0.907,0.034,-0.5242,1,The last airbender! [Aang and Katara reach the ground again and Aang sets Katara down. They start to walk away.] Quite agile for his old age. [He turns and angrily yells to a soldier behind him.] Wake my uncle! Tell him I found the Avatar. [Zuko peeks through his telescope again to see that Katara and Aang are running now. Zuko follows the direction they are running in with his telescope and discovers that they must be headed for the village he spots.] As well as his hiding place ...
zuko,iroh,0.059,0.907,0.034,-0.5242,1,The last airbender! [Aang and Katara reach the ground again and Aang sets Katara down. They start to walk away.] Quite agile for his old age. [He turns and angrily yells to a soldier behind him.] Wake my uncle! Tell him I found the Avatar. [Zuko peeks through his telescope again to see that Katara and Aang are running now. Zuko follows the direction they are running in with his telescope and discovers that they must be headed for the village he spots.] As well as his hiding place ...
katara,aang,0.469,0.531,0.0,-0.7345,2,[Protesting.] Aang didn't do anything! It was an accident.
kanna,katara,0.333,0.667,0.0,-0.7896,2,"[Worriedly.] Katara, you shouldn't have gone on that ship! Now we could all be in danger!"
aang,katara,0.374,0.499,0.127,-0.6077,2,[Sorrowfully.] Don't blame Katara. I brought her there. It's my fault.
