x,y,weight
Aang,Katara,369
Katara,Aang,359
Sokka,Katara,298
Sokka,Aang,279
Katara,Sokka,270
Aang,Sokka,263
Iroh,Zuko,133
Zuko,Iroh,124
Toph,Sokka,101
Toph,Katara,100
Sokka,Toph,99
Katara,Toph,94
Zuko,Sokka,78
Aang,Toph,76
Toph,Aang,74
Zuko,Aang,70
Sokka,Zuko,67
Aang,Zuko,66
Suki,Sokka,59
Sokka,Suki,58
Katara,Zuko,44
Zuko,Katara,44
Azula,Zuko,41
Zuko,Azula,36
Zuko,Mai,34
Mai,Zuko,33
Yue,Sokka,27
Jet,Sokka,26
Jet,Katara,26
Katara,Jet,25
Hakoda,Sokka,24
Sokka,Yue,24
Sokka,Hakoda,24
Pathik,Aang,22
Roku,Aang,22
Aang,Pathik,20
Aang,Roku,20
Toph,Zuko,20
Zuko,Zhao,19
Sokka,Jet,19
Zhao,Zuko,19
Zuko,Ozai,18
Zuko,Toph,18
Katara,Hakoda,18
Ozai,Zuko,18
Mechanist,Sokka,17
Katara,Haru,17
Hakoda,Katara,17
Hama,Katara,17
Ty Lee,Azula,17
Azula,Ty Lee,16
Sokka,Mechanist,15
Jeong Jeong,Aang,15
Aang,Bumi,15
Aang,Jeong Jeong,15
June,Zuko,14
Zhao,Iroh,14
Katara,Pakku,14
Bumi,Aang,13
Iroh,Zhao,13
Haru,Katara,13
Aang,Meng,13
Iroh,Toph,12
Pakku,Katara,12
Bato,Sokka,12
Sokka,Kuei,12
Aang,Jet,12
Ty Lee,Mai,12
Chong,Sokka,12
Li,Lo,12
Sokka,Piandao,12
Katara,Hama,11
Mai,Ty Lee,11
Lo,Li,11
Fong,Aang,11
Piandao,Sokka,11
Toph,Iroh,11
Roku,Sozin,11
Jin,Zuko,11
Sokka,Bato,10
Shyu,Aang,10
Pakku,Aang,10
Mechanist,Aang,10
Zuko,June,10
Jet,Smellerbee,10
Jet,Aang,10
Azula,Mai,10
Sozin,Roku,10
Sokka,Chong,10
Joo Dee,Sokka,9
Kuei,Sokka,9
Zhao,Aang,9
Aang,Herbalist,9
Aang,Pakku,9
Aang,Shyu,9
Zuko,Ty Lee,9
Herbalist,Aang,9
Zuko,Jin,9
Smellerbee,Jet,9
Bato,Katara,9
Meng,Aang,9
Aang,Zhao,9
Ozai,Azula,8
Katara,Wu,8
King Bumi,Aang,8
Chey,Sokka,8
Aang,Mechanist,8
Yagoda,Katara,8
Katara,Teo,8
Aang,Teo,8
Long Feng,Aang,8
Zuko,Suki,8
Aang,Fong,8
Tho,Due,8
Sokka,Arnook,8
